20240801 133200;19531.25;19547.5;19512.5;19544.75;11365
20240801 133300;19545;19549;19513.75;19543;11563
20240801 133400;19542.5;19562.25;19541;19550.5;10299
20240801 133500;19550.25;19562;19542.5;19559.25;7759
20240801 133600;19558.5;19559.5;19534;19545;8267
20240801 133700;19544.5;19545;19505;19517.25;10931
20240801 133800;19517;19542.75;19515.75;19541;8534
20240801 133900;19541;19566.5;19539.5;19554.25;9332
20240801 134000;19554.25;19569.75;19544;19563.25;7830
20240801 134100;19563.25;19587.25;19556.25;19584;8054
20240801 134200;19584;19601;19578.75;19586.75;8708
20240801 134300;19586.75;19608.75;19585.25;19608.25;6155
20240801 134400;19608;19629.5;19606.5;19626.5;6386
20240801 134500;19627;19636.5;19623.75;19630.75;3736
20240801 134600;19632;19645;19625.5;19626;6569
20240801 134700;19626.25;19646;19626.25;19635.75;7592
20240801 134800;19635;19655;19632;19643.25;9202
20240801 134900;19643.25;19658.25;19625.5;19657.5;9307
20240801 135000;19657.5;19664.5;19645.25;19648.75;7893
20240801 135100;19649;19653.75;19612;19614.75;10175
20240801 135200;19615.25;19638.25;19612.5;19612.75;6492
20240801 135300;19613.5;19631;19598.5;19624;8262
20240801 135400;19623.75;19649;19621.25;19639.5;6154
20240801 135500;19639.75;19647;19621.75;19628.5;4962
20240801 135600;19628.75;19651.75;19623.25;19650.75;5014
20240801 135700;19650.75;19669.75;19645.5;19667.75;7463
20240801 135800;19667.75;19681.75;19657;19662.25;6897
20240801 135900;19662;19662;19636;19648.75;5093
20240801 140000;19648.25;19657;19639;19640.5;2220
20240801 140100;19640.5;19651.5;19606.5;19626.75;8424
20240801 140200;19626.25;19635;19604;19627.25;7020
20240801 140300;19627.25;19667.25;19619.75;19661.75;8672
20240801 140400;19662;19663.5;19628.5;19629;5521
20240801 140500;19629.75;19630.25;19602;19606.25;6586
20240801 140600;19606;19618.75;19577.75;19578.75;8862
20240801 140700;19578.25;19586.5;19561.25;19561.5;8777
20240801 140800;19562.25;19576.75;19545;19576.75;9896
20240801 140900;19576.75;19605.25;19574;19595.5;7776
20240801 141000;19595.75;19598.75;19561.5;19566;6964
20240801 141100;19565.5;19590.75;19557.5;19558;7244
20240801 141200;19558.25;19593.75;19558.25;19576;6405
20240801 141300;19576;19587.75;19563.75;19579;4922
20240801 141400;19579.5;19612;19574.75;19605.5;7392
20240801 141500;19605.75;19613.75;19575.25;19576.5;7658
20240801 141600;19576.75;19579.75;19555;19564;8143
20240801 141700;19564;19584.75;19554;19556;7727
20240801 141800;19556.25;19559.75;19541;19556.75;7493
20240801 141900;19557;19569.25;19536.5;19541.75;7052
20240801 142000;19541.75;19544.75;19527.5;19539.75;5338
20240801 142100;19539.5;19551;19527.5;19528.25;5152
20240801 142200;19528.5;19533.75;19495.75;19515.25;10370
20240801 142300;19515;19519.75;19468.25;19471.75;10959
20240801 142400;19471.75;19479.5;19461.75;19475.5;8694
20240801 142500;19475.25;19512;19468.5;19504.5;8872
20240801 142600;19504.75;19512;19497.25;19499.25;5761
20240801 142700;19500;19512;19484.75;19510.5;6333
20240801 142800;19510.75;19514.25;19488.5;19491.5;5294
20240801 142900;19490.75;19499.5;19476.75;19481;5009
20240801 143000;19481.5;19484.25;19445;19445.5;8941
20240801 143100;19445.5;19471.25;19438;19468.5;8220
20240801 143200;19468.5;19471.25;19433.75;19440;6531
20240801 143300;19440.25;19450.5;19423.25;19429.25;7562
20240801 143400;19429.5;19443.25;19420;19441;7500
20240801 143500;19441;19468.5;19440;19463.75;8054
20240801 143600;19463.25;19465.25;19433.75;19437.5;5903
20240801 143700;19437.5;19441.5;19409.25;19412;7967
20240801 143800;19412.25;19431.75;19406.5;19414;6545
20240801 143900;19414;19448.5;19413.5;19445;6990
20240801 144000;19445.25;19451;19433;19436;4798
20240801 144100;19436;19447.25;19426.5;19442;5054
20240801 144200;19441.75;19443.25;19416;19422.5;4917
20240801 144300;19422.25;19428.75;19408;19409.25;4897
20240801 144400;19409.25;19413.25;19390.25;19400;7036
20240801 144500;19400.5;19415.75;19396.25;19401.25;4830
20240801 144600;19401;19401.75;19375.75;19380.5;6641
20240801 144700;19380.75;19392.5;19368.5;19371;5442
20240801 144800;19371;19375.75;19358;19371.75;6706
20240801 144900;19371.5;19371.75;19330.25;19331;8562
20240801 145000;19331.25;19346.75;19329.25;19338.25;6688
20240801 145100;19338.5;19386.5;19335.75;19381.25;10642
20240801 145200;19381.5;19384.5;19361.75;19377;5683
20240801 145300;19376.5;19385;19358.5;19382.5;5626
20240801 145400;19382.75;19388.75;19366;19373;5290
20240801 145500;19372.75;19382.5;19364.25;19367;4189
20240801 145600;19366.75;19372.25;19352.5;19370.75;5476
20240801 145700;19371;19385.75;19358;19380.5;5959
20240801 145800;19380.25;19387.5;19360;19361.75;5092
20240801 145900;19362.75;19366.75;19351;19355.25;3714
20240801 150000;19355.5;19361.5;19336.5;19342.5;4910
20240801 150100;19342.25;19356.75;19318.25;19323.25;9786
20240801 150200;19323.75;19328.25;19302.5;19313;7523
20240801 150300;19312.5;19319.25;19290;19313.75;8168
20240801 150400;19312.75;19314;19290.75;19300;5193
20240801 150500;19300;19307.25;19274;19275.25;6304
20240801 150600;19275;19293.5;19270;19281;6911
